"No.","Time","Source","Destination","MAC src","Protocol","Length","MAC dst","Info"
"1","0.000000000","a2:19:52:a1:10:1a","Broadcast","a2:19:52:a1:10:1a","ARP","60","ff:ff:ff:ff:ff:ff","Who has 10.10.0.1? Tell 10.10.0.10"
"2","0.000199121","2a:89:5b:62:44:f2","a2:19:52:a1:10:1a","2a:89:5b:62:44:f2","ARP","60","a2:19:52:a1:10:1a","10.10.0.1 is at 2a:89:5b:62:44:f2"
"3","0.000465697","10.10.0.10","8.8.8.8","a2:19:52:a1:10:1a","DNS","81","2a:89:5b:62:44:f2","Standard query 0x76fd A proxy.tpfinal-tyr.com"
"4","0.000567196","2a:89:5b:62:44:f2","Broadcast","2a:89:5b:62:44:f2","ARP","60","ff:ff:ff:ff:ff:ff","Who has 10.10.0.100? Tell 10.10.0.1"
"5","0.000655801","b6:0c:f9:58:64:27","2a:89:5b:62:44:f2","b6:0c:f9:58:64:27","ARP","60","2a:89:5b:62:44:f2","10.10.0.100 is at b6:0c:f9:58:64:27"
"6","0.000774532","10.10.0.10","8.8.8.8","2a:89:5b:62:44:f2","DNS","81","b6:0c:f9:58:64:27","Standard query 0x76fd A proxy.tpfinal-tyr.com"
"7","0.002095542","b6:0c:f9:58:64:27","Broadcast","b6:0c:f9:58:64:27","ARP","60","ff:ff:ff:ff:ff:ff","Who has 10.10.0.10? Tell 10.10.0.100"
"8","0.002184748","a2:19:52:a1:10:1a","b6:0c:f9:58:64:27","a2:19:52:a1:10:1a","ARP","60","b6:0c:f9:58:64:27","10.10.0.10 is at a2:19:52:a1:10:1a"
"9","0.002284514","8.8.8.8","10.10.0.10","b6:0c:f9:58:64:27","DNS","97","a2:19:52:a1:10:1a","Standard query response 0x76fd A proxy.tpfinal-tyr.com A 10.10.0.1"
"10","0.002549567","10.10.0.10","8.8.8.8","a2:19:52:a1:10:1a","DNS","81","2a:89:5b:62:44:f2","Standard query 0xf7fb AAAA proxy.tpfinal-tyr.com"
"11","0.002653561","10.10.0.10","8.8.8.8","2a:89:5b:62:44:f2","DNS","81","b6:0c:f9:58:64:27","Standard query 0xf7fb AAAA proxy.tpfinal-tyr.com"
"12","0.003363663","8.8.8.8","10.10.0.10","b6:0c:f9:58:64:27","DNS","126","a2:19:52:a1:10:1a","Standard query response 0xf7fb AAAA proxy.tpfinal-tyr.com SOA dns.tpfinal-tyr.com"
"13","0.003705489","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","TCP","74","2a:89:5b:62:44:f2","43018  >  3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3865731839 TSecr=0 WS=128"
"14","0.003834019","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","TCP","74","a2:19:52:a1:10:1a","3128  >  43018 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3185433764 TSecr=3865731839 WS=128"
"15","0.004598272","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","TCP","66","2a:89:5b:62:44:f2","43018  >  3128 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3865731839 TSecr=3185433764"
"16","0.005011631","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","HTTP","311","2a:89:5b:62:44:f2","GET http://www.tpfinal-tyr.com/ HTTP/1.0 "
"17","0.005279941","10.10.0.1","8.8.8.8","2a:89:5b:62:44:f2","DNS","83","b6:0c:f9:58:64:27","Standard query 0xe717 PTR 10.0.10.10.in-addr.arpa"
"18","0.005369287","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","TCP","66","a2:19:52:a1:10:1a","3128  >  43018 [ACK] Seq=1 Ack=246 Win=65024 Len=0 TSval=3185433765 TSecr=3865731840"
"19","0.005568678","10.10.0.1","8.8.8.8","2a:89:5b:62:44:f2","DNS","79","b6:0c:f9:58:64:27","Standard query 0xa7e2 A www.tpfinal-tyr.com"
